signature_id,dataset_id,platform,n_signature_genes,n_mapped_genes,mapped_genes,missing_genes,coverage_fraction,direction_complete,mapping_status,primary_coverage_pass,notes
SIG_MIN6,GSE73661_VDZ,GPL6244,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE92415_PURSUIT,GPL13158,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE212849_PROGECT,GPL570,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,E-MTAB-7604_ATNF,Illumina HiSeq 4000,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,E-MTAB-7845_VDZ,Illumina HiSeq 4000,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE107865_IFX_BLOOD,GPL23159,6,0,,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,FALSE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE42296_IFX_PBMC,GPL6244,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE52746_IFX_POST,GPL17996,6,0,,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,FALSE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE100833_CERTIFI,GPL13158,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE112366_UNITI2_ILEUM,GPL13158,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE207022_UNITI2_RECTUM,GPL13158,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE207465_UNITI2_BLOOD,GPL32416,6,0,,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,FALSE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE206285_UNIFI,GPL13158,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE171770_FUTURE,GPL20301;GPL21290,6,0,,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,FALSE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE234736_VDZ_TCELLS,GPL16791,6,0,,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,FALSE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE282580_VDZ,GPL32271,6,0,,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,FALSE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,BIOSTOP_JJAG121,Illumina,6,0,,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,FALSE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_VDZ4,GSE12251_ACT1_MH,GPL570,4,4,DCHS2;MAATS1;PIWIL1;RGS13,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_VDZ4,GSE23597_ACT1,GPL570,4,4,DCHS2;MAATS1;PIWIL1;RGS13,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_VDZ4,GSE14580_UC,GPL570,4,4,DCHS2;MAATS1;PIWIL1;RGS13,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
