signature_id,task_id,dataset_id,omitted_gene,n_genes_full,n_genes_retained,full_auroc,leave_one_gene_out_auroc,delta_auroc,direction_retained
SIG_VDZ4,T_PROGECT_MH_W6,GSE212849_PROGECT,MAATS1,4,3,0.40891912320483753,0.41345427059712775,0.0045351473922902175,False
SIG_VDZ4,T_PROGECT_MH_W6,GSE212849_PROGECT,RGS13,4,3,0.40891912320483753,0.3786848072562358,-0.03023431594860171,False
SIG_VDZ4,T_PROGECT_MH_W6,GSE212849_PROGECT,DCHS2,4,3,0.40891912320483753,0.4520030234315948,0.04308390022675729,False
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,ARMC2,7,6,0.4666666666666667,0.43777777777777777,-0.02888888888888891,False
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,BCL11B,7,6,0.4666666666666667,0.4244444444444444,-0.04222222222222227,False
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,CDH23,7,6,0.4666666666666667,0.4422222222222223,-0.02444444444444438,False
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,CRB2,7,6,0.4666666666666667,0.4711111111111111,0.0044444444444444176,False
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,MEGF6,7,6,0.4666666666666667,0.4866666666666666,0.019999999999999907,False
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,NAPSB,7,6,0.4666666666666667,0.47777777777777775,0.011111111111111072,False
SIG_VDZ_ANDO7,T_EMTAB7604_ER,E-MTAB-7604_ATNF,BCAP31,7,6,0.4666666666666667,0.46222222222222226,-0.0044444444444444176,False
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,ARMC2,7,6,0.4452003023431595,0.43008314436885864,-0.015117157974300854,False
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,BCL11B,7,6,0.4452003023431595,0.44217687074829937,-0.0030234315948601265,False
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,CDH23,7,6,0.4452003023431595,0.43839758125472406,-0.006802721088435437,False
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,CRB2,7,6,0.4452003023431595,0.4444444444444444,-0.0007558578987150733,False
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,MEGF6,7,6,0.4452003023431595,0.4520030234315948,0.006802721088435326,False
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,NAPSB,7,6,0.4452003023431595,0.45729402872260017,0.012093726379440672,False
SIG_VDZ_ANDO7,T_PROGECT_MH_W6,GSE212849_PROGECT,BCAP31,7,6,0.4452003023431595,0.45729402872260017,0.012093726379440672,False
